Al radial distance [nm], count [collisions/A^2]
0.00,2070
0.10,4203
0.20,4961
0.30,5659
0.40,5896
0.50,6362
0.60,6572
0.70,6694
0.80,7059
0.90,6997
1.00,7137
1.10,7326
1.20,7359
1.30,7668
1.40,7666
1.50,7660
1.60,7602
1.70,7854
1.80,7736
1.90,7963
2.00,8007
2.10,7931
2.20,7934
2.30,7791
2.40,7926
2.50,7962
2.60,7877
2.70,7890
2.80,7935
2.90,7988
3.00,7974
3.10,7757
3.20,7869
3.30,7953
3.40,7749
3.50,7837
3.60,7805
3.70,7934
3.80,7818
3.90,7647
4.00,7805
4.10,7635
4.20,7622
4.30,7607
4.40,7660
4.50,7471
4.60,7443
4.70,7436
4.80,7732
4.90,7610
5.01,7707
5.11,7414
5.21,7511
5.31,7380
5.41,7448
5.51,7419
5.61,7515
5.71,7399
5.81,7618
5.91,7611
6.01,7624
6.11,7519
6.21,7612
6.31,7484
6.41,7428
6.51,7287
6.61,7321
6.71,7342
6.81,7186
6.91,7293
7.01,7368
7.11,7271
7.21,7444
7.31,7195
7.41,7404
7.51,7375
7.61,7445
7.71,7318
7.81,7194
7.91,7283
8.01,7488
8.11,7371
8.21,7258
8.31,7233
8.41,7075
8.51,7113
8.61,7109
8.71,7095
8.81,7049
8.91,7191
9.01,7089
9.11,6891
9.21,7019
9.31,6828
9.41,7013
9.51,6801
9.61,6967
9.71,6880
9.81,6929
9.91,6797
10.01,7042
10.11,6784
10.21,6996
10.31,6793
10.41,6739
10.51,6735
10.61,6686
10.71,6670
10.81,6601
10.91,6549
11.01,6742
11.11,6900
11.21,6872
11.31,6963
11.41,6847
11.51,6965
11.61,6820
11.71,6804
11.81,6811
11.91,6968
12.01,7000
12.11,6827
12.21,6605
12.31,6747
12.41,6701
12.51,6633
12.61,6709
12.71,6751
12.81,6866
12.91,6710
13.01,6551
13.11,6642
13.21,6472
13.31,6450
13.41,6405
13.51,6481
13.61,6287
13.71,6294
13.81,6408
13.91,6496
14.01,6395
14.11,6548
14.21,6186
14.31,6426
14.41,6289
14.51,6239
14.61,6297
14.71,6314
14.81,6340
14.91,6428
15.02,6208
15.12,6402
15.22,6298
15.32,6379
15.42,6323
15.52,6256
15.62,6259
15.72,6266
15.82,6204
15.92,6256
16.02,6182
16.12,6276
16.22,6261
16.32,6204
16.42,6154
16.52,6326
16.62,6087
16.72,6231
16.82,6117
16.92,5927
17.02,5899
17.12,5981
17.22,5916
17.32,5753
17.42,5814
17.52,5893
17.62,5939
17.72,5997
17.82,6151
17.92,5769
18.02,5846
18.12,5864
18.22,5936
18.32,5764
18.42,5949
18.52,5739
18.62,5596
18.72,5800
18.82,5662
18.92,5739
19.02,5954
19.12,5645
19.22,5717
19.32,5588
19.42,5858
19.52,5535
19.62,5635
19.72,5654
19.82,5609
19.92,5520
20.02,5661
20.12,5529
20.22,5794
20.32,5638
20.42,5824
20.52,5651
20.62,5662
20.72,5643
20.82,5598
20.92,5509
21.02,5548
21.12,5493
21.22,5296
21.32,5523
21.42,5554
21.52,5447
21.62,5516
21.72,5540
21.82,5457
21.92,5500
22.02,5398
22.12,5250
22.22,5472
22.32,5424
22.42,5320
22.52,5416
22.62,5371
22.72,5378
22.82,5293
22.92,5340
23.02,5352
23.12,5325
23.22,5354
23.32,5379
23.42,5346
23.52,5431
23.62,5228
23.72,5245
23.82,5367
23.92,5363
24.02,5281
24.12,5360
24.22,5348
24.32,5315
24.42,5441
24.52,5489
