Au radial distance [nm], count [collisions/A^2]
0.00,29639
0.10,33889
0.20,36755
0.30,36819
0.40,39073
0.50,38781
0.60,39470
0.70,39650
0.80,39674
0.90,39029
1.00,38915
1.10,38013
1.20,37497
1.30,36491
1.40,35631
1.50,34096
1.60,32664
1.70,31240
1.80,30058
1.90,28696
2.00,27063
2.10,25934
2.20,24610
2.30,23593
2.40,22138
2.50,21027
2.60,19921
2.70,18910
2.80,17806
2.90,16959
3.00,15978
3.10,15055
3.20,14092
3.30,13338
3.40,12595
3.50,12014
3.60,11394
3.70,10460
3.80,9617
3.90,9123
4.00,8596
4.10,8181
4.20,7549
4.30,7121
4.40,6889
4.50,6284
4.60,5988
4.70,5622
4.80,5266
4.90,4982
5.01,4590
5.11,4377
5.21,3987
5.31,3812
5.41,3584
5.51,3528
5.61,3103
5.71,2961
5.81,2613
5.91,2669
6.01,2488
6.11,2419
6.21,2296
6.31,2082
6.41,1925
6.51,1885
6.61,1774
6.71,1728
6.81,1636
6.91,1604
7.01,1440
7.11,1308
7.21,1276
7.31,1169
7.41,1150
7.51,1082
7.61,1039
7.71,957
7.81,878
7.91,881
8.01,859
8.11,824
8.21,762
8.31,744
8.41,690
8.51,635
8.61,652
8.71,603
8.81,600
8.91,541
9.01,520
9.11,488
9.21,456
9.31,442
9.41,398
9.51,375
9.61,349
9.71,365
9.81,331
9.91,302
10.01,293
10.11,275
10.21,245
10.31,244
10.41,239
10.51,207
10.61,180
10.71,184
10.81,195
10.91,214
11.01,171
11.11,152
11.21,143
11.31,141
11.41,119
11.51,116
11.61,104
11.71,106
11.81,91
11.91,104
12.01,103
12.11,103
12.21,97
12.31,97
12.41,72
12.51,72
12.61,74
12.71,62
12.81,60
12.91,70
13.01,55
13.11,52
13.21,40
13.31,44
13.41,51
13.51,35
13.61,37
13.71,40
13.81,36
13.91,45
14.01,30
14.11,39
14.21,35
14.31,32
14.41,45
14.51,20
14.61,20
14.71,40
14.81,30
14.91,32
15.02,22
15.12,34
15.22,24
15.32,19
15.42,21
15.52,13
15.62,10
15.72,10
15.82,7
15.92,11
16.02,16
16.12,9
16.22,13
16.32,2
16.42,13
16.52,8
16.62,6
16.72,4
16.82,6
16.92,5
17.02,8
17.12,7
17.22,5
17.32,4
17.42,2
17.52,3
17.62,1
17.72,1
17.82,3
17.92,7
18.02,5
18.12,6
18.22,2
18.32,2
18.42,4
18.52,1
18.62,5
18.72,1
18.82,1
18.92,3
19.02,0
19.12,4
19.22,1
19.32,2
19.42,4
19.52,4
19.62,1
19.72,0
19.82,1
19.92,0
20.02,2
20.12,0
20.22,0
20.32,0
20.42,0
20.52,0
20.62,0
20.72,0
20.82,0
20.92,0
21.02,0
21.12,0
21.22,0
21.32,0
21.42,0
21.52,0
21.62,0
21.72,0
21.82,0
21.92,0
22.02,0
22.12,0
22.22,0
22.32,0
22.42,0
22.52,0
22.62,0
22.72,0
22.82,0
22.92,0
23.02,0
23.12,0
23.22,0
23.32,0
23.42,0
23.52,0
23.62,0
23.72,0
23.82,0
23.92,0
24.02,0
24.12,0
24.22,0
24.32,0
24.42,0
24.52,0
24.62,0
24.72,0
24.82,0
24.92,0
25.03,0
25.13,0
25.23,0
25.33,0
25.43,0
25.53,0
25.63,0
25.73,0
25.83,0
25.93,0
26.03,0
26.13,0
26.23,0
26.33,0
26.43,0
26.53,0
26.63,0
26.73,0
26.83,0
26.93,0
27.03,0
27.13,0
27.23,0
27.33,0
27.43,0
27.53,0
27.63,0
27.73,0
27.83,0
27.93,0
28.03,0
28.13,0
28.23,0
28.33,0
28.43,0
28.53,0
28.63,0
28.73,0
28.83,0
28.93,0
29.03,0
29.13,0
29.23,0
29.33,0
29.43,0
29.53,0
29.63,0
29.73,0
29.83,0
29.93,0
30.03,0
30.13,0
30.23,0
30.33,0
30.43,0
30.53,0
30.63,0
30.73,0
30.83,0
30.93,0
31.03,0
31.13,0
31.23,0
31.33,0
31.43,0
31.53,0
31.63,0
31.73,0
31.83,0
31.93,0
32.03,0
32.13,0
32.23,0
32.33,0
32.43,0
32.53,0
32.63,0
32.73,0
32.83,0
32.93,0
33.03,0
33.13,0
33.23,0
33.33,0
33.43,0
33.53,0
33.63,0
33.73,0
33.83,0
33.93,0
34.03,0
34.13,0
34.23,0
34.33,0
34.43,0
34.53,0
34.63,0
34.73,0
34.83,0
34.93,0
35.04,0
35.14,0
35.24,0
35.34,0
35.44,0
35.54,0
35.64,0
35.74,0
35.84,0
35.94,0
36.04,0
36.14,0
36.24,0
36.34,0
36.44,0
36.54,0
36.64,0
36.74,0
36.84,0
36.94,0
37.04,0
37.14,0
37.24,0
37.34,0
37.44,0
37.54,0
37.64,0
37.74,0
37.84,0
37.94,0
38.04,0
38.14,0
38.24,0
38.34,0
38.44,0
38.54,0
38.64,0
38.74,0
38.84,0
38.94,0
39.04,0
39.14,0
39.24,0
39.34,0
39.44,0
39.54,0
39.64,0
39.74,0
39.84,0
39.94,0
40.04,0
40.14,0
40.24,0
40.34,0
40.44,0
40.54,0
40.64,0
40.74,0
40.84,0
40.94,0
41.04,0
41.14,0
41.24,0
41.34,0
41.44,0
41.54,0
41.64,0
41.74,0
41.84,0
41.94,0
42.04,0
42.14,0
42.24,0
42.34,0
42.44,0
42.54,0
42.64,0
42.74,0
42.84,0
42.94,0
43.04,0
43.14,0
43.24,0
43.34,0
43.44,0
43.54,0
43.64,0
43.74,0
43.84,0
43.94,0
44.04,0
44.14,0
44.24,0
44.34,0
44.44,0
44.54,0
44.64,0
44.74,0
44.84,0
44.94,0
45.05,0
45.15,0
45.25,0
45.35,0
45.45,0
45.55,0
45.65,0
45.75,0
45.85,0
45.95,0
46.05,0
46.15,0
46.25,0
46.35,0
46.45,0
46.55,0
46.65,0
46.75,0
46.85,0
46.95,0
47.05,0
47.15,0
47.25,0
47.35,0
47.45,0
47.55,0
47.65,0
47.75,0
47.85,0
47.95,0
48.05,0
48.15,0
48.25,0
48.35,0
48.45,0
48.55,0
48.65,0
48.75,0
48.85,0
48.95,0
49.05,0
49.15,0
49.25,0
49.35,0
49.45,0
49.55,0
49.65,0
49.75,0
49.85,0
49.95,0
50.05,0
50.15,0
50.25,0
50.35,0
50.45,0
50.55,0
50.65,0
50.75,0
50.85,0
50.95,0
51.05,0
51.15,0
51.25,0
51.35,0
51.45,0
51.55,0
51.65,0
51.75,0
51.85,0
51.95,0
52.05,0
52.15,0
52.25,0
52.35,0
52.45,0
52.55,0
52.65,0
52.75,0
52.85,0
52.95,0
53.05,0
53.15,0
53.25,0
53.35,0
53.45,0
53.55,0
53.65,0
53.75,0
53.85,0
53.95,0
54.05,0
54.15,0
54.25,0
54.35,0
54.45,0
54.55,0
54.65,0
54.75,0
54.85,0
54.95,0
55.06,0
55.16,0
55.26,0
55.36,0
55.46,0
55.56,0
55.66,0
55.76,0
55.86,0
55.96,0
56.06,0
56.16,0
56.26,0
56.36,0
56.46,0
56.56,0
56.66,0
56.76,0
56.86,0
56.96,0
57.06,0
57.16,0
57.26,0
57.36,0
57.46,0
57.56,0
57.66,0
57.76,0
57.86,0
57.96,0
58.06,0
58.16,0
58.26,0
58.36,0
58.46,0
58.56,0
58.66,0
58.76,0
58.86,0
58.96,0
59.06,0
59.16,0
59.26,0
59.36,0
59.46,0
59.56,0
59.66,0
59.76,0
59.86,0
59.96,0
60.06,0
60.16,0
60.26,0
60.36,0
60.46,0
60.56,0
60.66,0
60.76,0
60.86,0
60.96,0
61.06,0
61.16,0
61.26,0
61.36,0
61.46,0
61.56,0
61.66,0
61.76,0
61.86,0
61.96,0
62.06,0
62.16,0
62.26,0
62.36,0
62.46,0
62.56,0
62.66,0
62.76,0
62.86,0
62.96,0
63.06,0
63.16,0
63.26,0
63.36,0
63.46,0
63.56,0
63.66,0
63.76,0
63.86,0
63.96,0
64.06,0
64.16,0
64.26,0
64.36,0
64.46,0
64.56,0
64.66,0
64.76,0
64.86,0
64.96,0
65.07,0
65.17,0
65.27,0
65.37,0
65.47,0
65.57,0
65.67,0
65.77,0
65.87,0
65.97,0
66.07,0
66.17,0
66.27,0
66.37,0
66.47,0
66.57,0
66.67,0
66.77,0
