====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Al   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 A ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =100.00
 Total Target Vacancies     = 1047 /Ion
 Total Target Displacements = 1076 /Ion
 Total Target Replacement Collisions = 29 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Al           Si            C       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
100010.E-03  3120.00E-05  1343.00E-04  1991.00E-04  
200010.E-03  3130.00E-05  1071.00E-04  1476.00E-04  
300010.E-03  3380.00E-05  1842.00E-04  2768.00E-04  
400010.E-03  3950.00E-05  1751.00E-04  2665.00E-04  
500010.E-03  4040.00E-05  1752.00E-04  2749.00E-04  
600010.E-03  4150.00E-05  2054.00E-04  3089.00E-04  
700010.E-03  4680.00E-05  2072.00E-04  3020.00E-04  
800010.E-03  5400.00E-05  2292.00E-04  3352.00E-04  
900010.E-03  5120.00E-05  2307.00E-04  3351.00E-04  
100001.E-02  5030.00E-05  2140.00E-04  3202.00E-04  
110001.E-02  6640.00E-05  2579.00E-04  3661.00E-04  
120001.E-02  5860.00E-05  2823.00E-04  4119.00E-04  
130001.E-02  7160.00E-05  2766.00E-04  4110.00E-04  
140001.E-02  5490.00E-05  2176.00E-04  3243.00E-04  
150001.E-02  5900.00E-05  2581.00E-04  3813.00E-04  
160001.E-02  5270.00E-05  2371.00E-04  3527.00E-04  
170001.E-02  4880.00E-05  1912.00E-04  2896.00E-04  
180001.E-02  4140.00E-05  1483.00E-04  2256.00E-04  
190001.E-02  3240.00E-05  1194.00E-04  1821.00E-04  
200001.E-02  2680.00E-05  1098.00E-04  1538.00E-04  
210001.E-02  1970.00E-05  8420.00E-05  1259.00E-04  
220001.E-02  1530.00E-05  6520.00E-05  9580.00E-05  
230001.E-02  9800.00E-06  4100.00E-05  6270.00E-05  
240001.E-02  5900.00E-06  2210.00E-05  3030.00E-05  
250001.E-02  4700.00E-06  1500.00E-05  1940.00E-05  
260001.E-02  3300.00E-06  6000.00E-06  9500.00E-06  
270001.E-02  2200.00E-06  6900.00E-06  1100.00E-05  
280001.E-02  3300.00E-06  7300.00E-06  1230.00E-05  
290001.E-02  1600.00E-06  4600.00E-06  9100.00E-06  
300001.E-02  0000.00E+00  1200.00E-06  2400.00E-06  
310001.E-02  0000.00E+00  5000.00E-07  6000.00E-07  
320001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
330001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
340001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
360001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
370001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
380001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
390001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
410001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
420001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
430001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
440001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
460001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
470001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
480001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
490001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
510001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
520001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
530001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
540001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
550001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
560001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
570001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
580001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
590001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
600001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
610001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
620001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
630001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
640001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
650001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
660001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
670001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
680001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
690001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
700001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
710001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
720001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
730001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
740001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
750001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
760001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
770001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
780001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
790001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
800001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
810001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
820001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
830001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
840001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
850001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
860001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
870001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
890001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
910001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
930001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
950001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
970001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
990001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  5.95  eV/Vacancy
