====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 172670.E-02 A   Straggling = 512401.E-03 A
 Ion Lateral Range = 383897.E-03 A   Straggling = 471007.E-03 A
 Ion Radial  Range = 626262.E-03 A   Straggling = 348380.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 77015982.E-05 77015982.E-05 10379912.E-04 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 69312227.E-05 69312227.E-05 73919618.E-05 00000000.E+00 
6000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000100.E-04 38210186.E-05 38357106.E-05 53459508.E-05 11760461.E-05 
8000100.E-04 55951316.E-05 73690145.E-05 83309211.E-05 46020091.E-05 
9000100.E-04 39537457.E-05 39537457.E-05 66373643.E-05 00000000.E+00 
1000010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1100010.E-03 28027964.E-05 34666432.E-05 78808256.E-05 17648581.E-06 
1200010.E-03 33822746.E-05 41599333.E-05 72845140.E-05 29576619.E-05 
1300010.E-03 63730404.E-05 73493952.E-05 89658336.E-05 33983634.E-05 
1400010.E-03 27771697.E-05 32268779.E-05 41458395.E-05 16728914.E-05 
1500010.E-03 49164207.E-05 61391688.E-05 79088515.E-05 33073206.E-05 
1600010.E-03 29943763.E-05 36574792.E-05 95556183.E-05 45815517.E-05 
1700010.E-03 34180207.E-05 41396565.E-05 59466982.E-05 41669917.E-05 
1800010.E-03 23614800.E-05 31181320.E-05 39110441.E-05 24557712.E-05 
1900010.E-03 61734389.E-05 65518254.E-05 78669754.E-05 26719115.E-05 
2000010.E-03 37341976.E-05 42867635.E-05 55379434.E-05 20515095.E-05 
2100010.E-03 45105824.E-05 49794326.E-05 67983596.E-05 25055178.E-05 
2200010.E-03 32369157.E-05 41751662.E-05 51041460.E-05 34371135.E-05 
2300010.E-03 27950535.E-05 34888092.E-05 47248012.E-05 34711360.E-05 
