====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =100.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Si       by   C       
----------   ------------  -----------  -----------  
100010.E-03  3332.73E-02  1798.38E-02  1552.24E-02  
200010.E-03  2327.95E-02  1440.20E-02  9071.12E-03  
300010.E-03  4490.84E-02  3041.26E-02  1469.73E-02  
400010.E-03  4123.96E-02  2179.16E-02  1966.63E-02  
500010.E-03  2937.56E-02  2298.12E-02  6640.43E-03  
600010.E-03  4104.11E-02  2309.92E-02  1819.78E-02  
700010.E-03  4348.97E-02  2527.30E-02  1848.84E-02  
800010.E-03  4076.48E-02  1771.13E-02  2332.15E-02  
900010.E-03  4334.22E-02  2899.52E-02  1463.15E-02  
100001.E-02  5193.55E-02  2966.46E-02  2260.25E-02  
110001.E-02  3413.26E-02  2595.03E-02  8502.92E-03  
120001.E-02  3144.58E-02  1632.31E-02  1544.69E-02  
130001.E-02  4399.39E-02  2314.96E-02  2122.09E-02  
140001.E-02  4791.70E-02  3044.96E-02  1783.97E-02  
150001.E-02  5489.50E-02  2984.88E-02  2542.41E-02  
160001.E-02  3879.62E-02  2411.00E-02  1500.82E-02  
170001.E-02  2942.90E-02  1862.01E-02  1110.62E-02  
180001.E-02  4370.64E-02  2582.95E-02  1825.82E-02  
190001.E-02  2474.72E-02  1258.92E-02  1241.36E-02  
200001.E-02  1860.34E-02  8197.25E-03  1065.58E-02  
210001.E-02  2593.42E-02  1460.72E-02  1159.08E-02  
220001.E-02  1922.21E-02  1244.87E-02  6958.39E-03  
230001.E-02  7048.49E-03  4985.61E-03  2150.65E-03  
240001.E-02  6765.97E-03  4644.46E-03  2197.68E-03  
250001.E-02  2166.57E-03  5559.30E-04  1640.14E-03  
260001.E-02  2837.04E-03  2528.31E-03  3199.20E-04  
270001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
280001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
290001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
310001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
320001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
330001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
340001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
360001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
370001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
380001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
390001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
410001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
420001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
430001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
440001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
460001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
470001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
480001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
490001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
510001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
520001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
530001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
540001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
550001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
560001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
570001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
580001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
590001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
600001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
610001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
