====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Au(25 keV) ==> None(  1 um) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Au   Energy = 25 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 A ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =100.00
 Total Target Vacancies     = 336 /Ion
 Total Target Displacements = 345 /Ion
 Total Target Replacement Collisions = 9 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Au           Si            C       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
100010.E-03  3679.00E-04  9911.00E-04  1478.00E-03  
200010.E-03  1465.00E-04  3295.00E-04  5211.00E-04  
300010.E-03  6000.00E-07  4500.00E-06  6900.00E-06  
400010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
500010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
600010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
700010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
800010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
900010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
110001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
120001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
130001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
140001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
150001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
160001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
170001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
180001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
190001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
200001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
210001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
220001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
230001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
240001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
250001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
260001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
270001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
280001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
290001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
310001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
320001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
330001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
340001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
360001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
370001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
380001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
390001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
410001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
420001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
430001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
440001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
460001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
470001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
480001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
490001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
510001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
520001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
530001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
540001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
550001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
560001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
570001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
580001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
590001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
600001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
610001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
620001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
630001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
640001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
650001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
660001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
670001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
680001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
690001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
700001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
710001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
720001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
730001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
740001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
750001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
760001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
770001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
780001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
790001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
800001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
810001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
820001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
830001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
840001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
850001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
860001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
870001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
890001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
910001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
930001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
950001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
970001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
990001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  5.95  eV/Vacancy
