====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =100.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by  Si       by   C       
----------   ------------  -----------  -----------  
100010.E-03  2143.72E-02  1439.09E-02  7234.07E-03  
200010.E-03  2896.96E-02  1970.82E-02  9465.26E-03  
300010.E-03  4972.95E-02  3118.83E-02  1875.05E-02  
400010.E-03  3769.60E-02  2620.08E-02  1169.54E-02  
500010.E-03  2780.74E-02  1391.94E-02  1411.05E-02  
600010.E-03  4000.67E-02  2876.80E-02  1148.54E-02  
700010.E-03  3945.55E-02  3063.11E-02  9081.95E-03  
800010.E-03  3327.17E-02  1904.77E-02  1448.72E-02  
900010.E-03  3212.45E-02  2488.33E-02  7505.76E-03  
100001.E-02  4618.10E-02  3067.59E-02  1582.51E-02  
110001.E-02  3813.93E-02  2366.08E-02  1479.59E-02  
120001.E-02  7537.61E-02  5714.81E-02  1862.40E-02  
130001.E-02  5891.02E-02  4020.23E-02  1911.26E-02  
140001.E-02  6545.58E-02  4718.93E-02  1864.95E-02  
150001.E-02  4157.21E-02  2110.96E-02  2085.80E-02  
160001.E-02  3089.36E-02  1728.63E-02  1389.25E-02  
170001.E-02  4043.44E-02  1921.50E-02  2152.96E-02  
180001.E-02  2980.65E-02  2197.97E-02  8080.85E-03  
190001.E-02  1861.80E-02  1188.36E-02  6970.95E-03  
200001.E-02  2050.37E-02  8829.64E-03  1184.37E-02  
210001.E-02  1713.57E-02  1113.88E-02  6164.05E-03  
220001.E-02  1545.94E-02  7146.08E-03  8466.48E-03  
230001.E-02  9425.86E-03  3813.08E-03  5691.09E-03  
240001.E-02  6577.40E-03  3599.27E-03  3067.80E-03  
250001.E-02  3161.21E-03  1575.79E-03  1625.92E-03  
260001.E-02  3251.16E-03  2021.06E-03  1257.97E-03  
270001.E-02  3937.26E-04  9798.39E-05  3092.92E-04  
280001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
290001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
310001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
320001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
330001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
340001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
360001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
370001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
380001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
390001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
410001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
420001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
430001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
440001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
460001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
470001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
480001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
490001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
510001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
520001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
530001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
540001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
550001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
560001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
570001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
580001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
590001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
600001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
610001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  
