====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 167414.E-02 A   Straggling = 474653.E-03 A
 Ion Lateral Range = 338982.E-03 A   Straggling = 431716.E-03 A
 Ion Radial  Range = 570491.E-03 A   Straggling = 317684.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 11489324.E-06 12939871.E-06 11391036.E-05 93801140.E-06 
6000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000100.E-04 53260419.E-05 53260419.E-05 66802105.E-05 00000000.E+00 
8000100.E-04 39716619.E-05 45267271.E-05 64477869.E-05 31729379.E-06 
9000100.E-04 18594291.E-05 18594291.E-05 25834771.E-05 00000000.E+00 
1000010.E-03 29394191.E-06 29394191.E-06 37626555.E-05 00000000.E+00 
1100010.E-03 20708664.E-05 21254723.E-05 23004691.E-05 40132957.E-06 
1200010.E-03 29449040.E-05 41719454.E-05 62144872.E-05 46169303.E-05 
1300010.E-03 35605770.E-05 41954374.E-05 47322855.E-05 19584191.E-05 
1400010.E-03 36124815.E-05 38799644.E-05 65229273.E-05 30731404.E-05 
1500010.E-03 50708026.E-05 60025908.E-05 73864761.E-05 30525644.E-05 
1600010.E-03 27213517.E-05 32474312.E-05 40019627.E-05 22150518.E-05 
1700010.E-03 28987099.E-05 39650574.E-05 52550540.E-05 34168876.E-05 
1800010.E-03 30848481.E-05 45116915.E-05 59674153.E-05 38138345.E-05 
1900010.E-03 27094213.E-05 34989041.E-05 63622292.E-05 25927933.E-05 
2000010.E-03 40451657.E-05 47645970.E-05 51682840.E-05 19952257.E-05 
2100010.E-03 30879554.E-05 39142238.E-05 52903012.E-05 19329602.E-05 
2200010.E-03 48544207.E-05 55341507.E-05 65998432.E-05 27855515.E-05 
2300010.E-03 41101315.E-05 49782891.E-05 61595793.E-05 21021695.E-05 
